loyalty_number,total_flights,total_distance,total_points_accumulated,total_points_redeemed,total_dollar_cost_points_redeemed,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,enrollment_type,cancellation_year,cancellation_month,salary_bracket
106979,38,66576,66576.0,1530,276,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,86727.0,Single,Star,Standard,0.0,0.0,Medium
107119,47,73636,73636.0,995,179,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,92398.0,Single,Nova,Standard,0.0,0.0,Medium
107461,18,21476,21476.0,551,99,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,79245.6094087527,Married,Star,Standard,0.0,0.0,Medium
107487,18,33663,33663.0,379,68,Canada,Quebec,Montreal,H2T 2J6,Male,Master,105487.0,Divorced,Nova,Standard,0.0,0.0,High
107519,61,95293,140145.0,501,90,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,71792.0,Married,Aurora,2018 Promotion,2018.0,0.0,Medium
107571,31,38467,38467.0,1175,211,Canada,British Columbia,Vancouver,V6E 3Z3,Male,College,79245.6094087527,Single,Aurora,Standard,0.0,0.0,Medium
107719,30,36129,36129.0,1573,282,Canada,British Columbia,Kelowna,V09 2E9,Male,College,79245.6094087527,Single,Star,Standard,0.0,9.0,Medium
108264,68,103366,103366.0,2676,483,Canada,Saskatchewan,Regina,S6J 3G0,Female,Bachelor,60970.0,Married,Star,Standard,0.0,0.0,Medium
108346,10,17116,17116.0,0,0,Canada,Alberta,Banff,T4V 1D4,Female,Bachelor,53738.0,Single,Nova,Standard,2018.0,0.0,Medium
108381,40,50725,50725.0,1618,292,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,47966.0,Married,Nova,Standard,0.0,0.0,Low
108430,47,87628,87628.0,342,62,Canada,Saskatchewan,Regina,S1J 3C5,Male,Bachelor,49927.0,Married,Aurora,Standard,0.0,0.0,Low
108481,0,0,0.0,0,0,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,60934.0,Married,Aurora,Standard,0.0,0.0,Medium
108857,10,7254,7254.0,986,178,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,88691.0,Married,Nova,Standard,2018.0,0.0,Medium
108907,37,56340,56340.0,1570,283,Canada,British Columbia,Victoria,V10 6T5,Male,College,79245.6094087527,Single,Star,Standard,0.0,0.0,Medium
109203,41,62207,62207.0,429,77,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,69098.0,Married,Star,Standard,0.0,0.0,Medium
109478,44,85316,85316.0,574,103,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,84346.0,Married,Star,Standard,0.0,0.0,Medium
109552,22,26865,26865.0,0,0,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,81364.0,Divorced,Nova,Standard,0.0,0.0,Medium
109896,42,62398,62398.0,780,141,Canada,Manitoba,Winnipeg,R2C 0M5,Female,College,79245.6094087527,Single,Star,Standard,0.0,0.0,Medium
109903,38,47019,47019.0,1115,201,Canada,Saskatchewan,Regina,S6J 3G0,Female,Bachelor,57975.0,Married,Star,Standard,0.0,0.0,Medium
109956,16,27586,27586.0,0,0,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,89320.0,Married,Star,Standard,2018.0,0.0,Medium
110001,32,47676,47676.0,1034,186,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,81771.0,Married,Nova,Standard,0.0,0.0,Medium
110030,12,12015,12015.0,0,0,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,48851.0,Married,Nova,Standard,2017.0,0.0,Low
110073,0,0,0.0,0,0,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,84678.0,Married,Aurora,Standard,2015.0,0.0,Medium
110394,46,66002,66002.0,1113,200,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,81901.0,Single,Star,Standard,0.0,0.0,Medium
110476,47,66715,66715.0,1851,333,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,86244.0,Married,Star,Standard,0.0,0.0,Medium
110603,0,0,0.0,0,0,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,53061.0,Married,Star,Standard,2017.0,0.0,Medium
110691,30,49309,49309.0,503,91,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,79245.6094087527,Single,Star,Standard,0.0,0.0,Medium
110752,41,62023,62023.0,409,74,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,72625.0,Divorced,Star,Standard,0.0,0.0,Medium
111022,28,44035,44035.0,1095,197,Canada,Manitoba,Winnipeg,R2C 0M5,Female,College,79245.6094087527,Divorced,Nova,Standard,0.0,0.0,Medium
111176,37,59430,59430.0,1718,310,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,College,79245.6094087527,Single,Nova,Standard,0.0,0.0,Medium
111255,48,65856,65856.0,0,0,Canada,Quebec,Hull,J8Y 3Z5,Male,High School or Below,70272.0,Married,Star,Standard,0.0,0.0,Medium
111329,36,44314,44314.0,2311,416,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,50748.0,Married,Nova,Standard,0.0,0.0,Medium
111485,51,73149,73149.0,2388,429,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,90349.0,Divorced,Star,Standard,0.0,0.0,Medium
111507,29,40465,40465.0,1689,304,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,58405.0,Married,Star,Standard,0.0,0.0,Medium
111573,42,73431,73431.0,605,109,Canada,Ontario,Toronto,M2Z 4K1,Male,Bachelor,85487.0,Married,Aurora,Standard,0.0,0.0,Medium
111584,25,32533,32533.0,1262,227,Canada,Ontario,Toronto,M8Y 4K8,Female,Doctor,68273.0,Divorced,Nova,Standard,0.0,0.0,Medium
111899,16,24779,24779.0,998,180,Canada,Manitoba,Winnipeg,R2C 0M5,Female,College,79245.6094087527,Single,Nova,Standard,2017.0,0.0,Medium
112142,39,56357,56357.0,979,176,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,93073.0,Single,Aurora,Standard,0.0,0.0,Medium
112226,38,70245,70245.0,1351,243,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,74413.0,Married,Nova,Standard,0.0,0.0,Medium
112522,50,69086,103629.0,0,0,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,49846.0,Married,Aurora,2018 Promotion,0.0,0.0,Low
112632,47,76426,76426.0,676,122,Canada,Quebec,Montreal,H2T 2J6,Male,College,79245.6094087527,Married,Nova,Standard,0.0,0.0,Medium
112678,29,50550,50550.0,1621,292,Canada,Ontario,Toronto,M2M 6J7,Male,College,79245.6094087527,Married,Star,Standard,0.0,0.0,Medium
112709,36,58414,58414.0,0,0,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Doctor,68387.0,Married,Nova,Standard,0.0,0.0,Medium
112732,37,65331,65331.0,1154,208,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,67412.0,Married,Nova,Standard,0.0,0.0,Medium
112733,46,55364,55364.0,0,0,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,78298.0,Married,Nova,Standard,0.0,0.0,Medium
112797,0,0,0.0,0,0,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,90649.0,Married,Star,Standard,2015.0,0.0,Medium
112894,0,0,0.0,0,0,Canada,Ontario,Toronto,M2M 7K8,Male,College,79245.6094087527,Married,Aurora,Standard,0.0,0.0,Medium
113363,22,43708,43708.0,0,0,Canada,New Brunswick,Moncton,E1A 2A7,Female,Bachelor,57311.0,Married,Nova,Standard,0.0,0.0,Medium
113476,48,76252,76252.0,574,103,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,66334.0,Married,Aurora,Standard,0.0,0.0,Medium
113529,6,13405,13405.0,0,0,Canada,Ontario,Toronto,P1L 8X8,Male,Bachelor,76548.0,Married,Nova,Standard,0.0,0.0,Medium
113558,32,40426,40426.0,1662,299,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,66116.0,Married,Aurora,Standard,0.0,0.0,Medium
113578,3,1799,1799.0,0,0,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,59034.0,Married,Star,Standard,2017.0,0.0,Medium
113656,0,0,0.0,0,0,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,52213.0,Married,Aurora,Standard,2015.0,0.0,Medium
113679,52,66901,66901.0,341,61,Canada,Ontario,Toronto,P2T 6G3,Male,College,79245.6094087527,Single,Aurora,Standard,0.0,0.0,Medium
113694,53,88235,88235.0,2774,500,Canada,Saskatchewan,Regina,S6J 3G0,Female,College,79245.6094087527,Divorced,Nova,Standard,0.0,0.0,Medium
113755,18,19113,19113.0,460,83,Canada,British Columbia,Kelowna,V09 2E9,Female,Bachelor,63616.0,Married,Star,Standard,0.0,0.0,Medium
113839,30,49824,49824.0,857,154,Canada,Ontario,Toronto,M2M 7K8,Male,College,79245.6094087527,Divorced,Star,Standard,0.0,0.0,Medium
113874,42,78775,110895.0,0,0,Canada,Ontario,Toronto,M2M 7K8,Female,College,79245.6094087527,Single,Nova,2018 Promotion,0.0,0.0,Medium
113904,44,48694,48694.0,958,173,Canada,Ontario,Kingston,M9K 2P4,Female,Bachelor,63343.0,Married,Nova,Standard,0.0,0.0,Medium
114021,46,69349,69349.0,671,121,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,88044.0,Married,Star,Standard,0.0,0.0,Medium
114131,49,84772,127158.0,440,79,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,80516.0,Married,Nova,2018 Promotion,0.0,0.0,Medium
114399,4,4809,4809.0,0,0,Canada,British Columbia,Vancouver,V6E 3D9,Female,College,79245.6094087527,Single,Star,Standard,0.0,0.0,Medium
114414,57,98309,98309.0,353,64,Canada,Ontario,Toronto,P1J 8T7,Male,College,79245.6094087527,Married,Nova,Standard,0.0,0.0,Medium
114553,41,61201,61201.0,885,159,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,47987.0,Divorced,Nova,Standard,0.0,0.0,Low
114638,51,63893,63893.0,495,89,Canada,Quebec,Quebec City,G1B 3L5,Male,College,79245.6094087527,Single,Star,Standard,0.0,0.0,Medium
114743,15,22328,22328.0,527,95,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,59753.0,Married,Star,Standard,0.0,0.0,Medium
114835,30,42008,42008.0,0,0,Canada,Ontario,Toronto,M1R 4K3,Female,Master,101354.0,Divorced,Star,Standard,0.0,0.0,High
114903,36,53090,53090.0,457,82,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,58414.0,Married,Nova,Standard,0.0,0.0,Medium
114924,13,22222,22222.0,0,0,Canada,Ontario,Ottawa,K1F 2R2,Female,College,79245.6094087527,Married,Star,Standard,2018.0,0.0,Medium
114927,31,40489,40489.0,1232,222,Canada,British Columbia,Whistler,V6T 1Y8,Male,Doctor,190674.0,Divorced,Star,Standard,0.0,0.0,High
115354,52,79226,79226.0,1546,278,Canada,New Brunswick,Fredericton,E3B 2H2,Female,College,79245.6094087527,Single,Star,Standard,0.0,0.0,Medium
115505,26,59434,89151.0,0,0,Canada,Newfoundland,St. John's,A1C 6H9,Male,Bachelor,-10605.0,Married,Nova,2018 Promotion,0.0,0.0,Low
115529,34,47356,47356.0,401,72,Canada,British Columbia,Vancouver,V6E 3D9,Male,Master,101038.0,Married,Star,Standard,0.0,0.0,High
115633,43,63347,63347.0,368,66,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,80218.0,Married,Nova,Standard,0.0,0.0,Medium
115705,40,59658,59658.0,983,177,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,71498.0,Married,Aurora,Standard,0.0,0.0,Medium
115749,9,12514,12514.0,0,0,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,104712.0,Married,Nova,Standard,0.0,0.0,High
115805,46,63394,63394.0,1668,300,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,54096.0,Divorced,Star,Standard,0.0,0.0,Medium
115852,38,62941,62941.0,0,0,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,59314.0,Married,Nova,Standard,0.0,0.0,Medium
116016,43,66457,66457.0,1116,201,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,56700.0,Married,Aurora,Standard,0.0,0.0,Medium
116045,49,79559,79559.0,373,67,Canada,Quebec,Quebec City,G1B 3L5,Female,College,79245.6094087527,Single,Aurora,Standard,0.0,0.0,Medium
116164,9,15501,15501.0,1516,272,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,101599.0,Married,Aurora,Standard,0.0,0.0,High
116207,14,25324,25324.0,0,0,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,62245.0,Married,Nova,Standard,2017.0,0.0,Medium
116238,15,23059,23059.0,861,155,Canada,Saskatchewan,Regina,S1J 3C5,Male,Master,81765.0,Single,Nova,Standard,0.0,0.0,Medium
116332,48,72114,72114.0,895,161,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,62706.0,Married,Aurora,Standard,0.0,0.0,Medium
116372,35,45847,45847.0,663,119,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,95638.0,Single,Star,Standard,0.0,0.0,Medium
116732,22,39329,39329.0,670,121,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,72583.0,Married,Aurora,Standard,0.0,0.0,Medium
116932,39,57913,57913.0,1713,309,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,83568.0,Divorced,Nova,Standard,0.0,0.0,Medium
117169,40,57471,57471.0,471,85,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,55144.0,Married,Aurora,Standard,0.0,0.0,Medium
117219,46,80346,80346.0,1575,284,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,69803.0,Divorced,Star,Standard,0.0,0.0,Medium
117333,62,81641,81641.0,1708,307,Canada,Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,96798.0,Married,Star,Standard,0.0,0.0,Medium
117351,0,0,0.0,0,0,Canada,Manitoba,Winnipeg,R6Y 4T5,Female,Bachelor,97461.0,Married,Nova,Standard,0.0,0.0,Medium
117358,3,4368,4368.0,0,0,Canada,Ontario,Toronto,M2Z 4K1,Male,Bachelor,86365.0,Divorced,Nova,Standard,0.0,0.0,Medium
117456,51,77607,77607.0,944,170,Canada,Alberta,Edmonton,T9G 1W3,Female,College,79245.6094087527,Married,Star,Standard,0.0,0.0,Medium
117482,78,84355,124464.0,511,92,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,53563.0,Married,Nova,2018 Promotion,0.0,0.0,Medium
117618,29,39486,39486.0,1192,214,Canada,Newfoundland,St. John's,A1C 6H9,Male,High School or Below,67024.0,Married,Star,Standard,0.0,0.0,Medium
117725,0,0,0.0,0,0,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,80107.0,Married,Nova,Standard,2014.0,0.0,Medium
117910,33,44863,44863.0,0,0,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,59917.0,Married,Star,Standard,0.0,0.0,Medium
117915,77,134908,202362.0,0,0,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,75996.0,Married,Star,2018 Promotion,0.0,0.0,Medium
117932,25,42732,42732.0,572,103,Canada,Ontario,Toronto,M2M 7K8,Female,Bachelor,81063.0,Single,Star,Standard,0.0,0.0,Medium
117939,8,9058,9058.0,0,0,Canada,Quebec,Montreal,H4G 3T4,Male,College,79245.6094087527,Single,Star,Standard,2017.0,0.0,Medium
118320,40,60927,60927.0,1437,259,Canada,Ontario,Kingston,M9K 2P4,Female,Bachelor,78268.0,Married,Nova,Standard,0.0,0.0,Medium
118355,21,25446,25446.0,515,93,Canada,Quebec,Montreal,H2T 9K8,Female,Doctor,198691.0,Divorced,Star,Standard,0.0,0.0,High
118365,30,48598,48598.0,934,168,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,91239.0,Married,Star,Standard,0.0,0.0,Medium
118376,8,10291,10291.0,487,88,Canada,British Columbia,Kelowna,V09 2E9,Female,College,79245.6094087527,Married,Aurora,Standard,2018.0,0.0,Medium
118612,21,30075,30075.0,0,0,Canada,Ontario,Ottawa,K1G 4Z0,Female,College,79245.6094087527,Married,Nova,Standard,0.0,0.0,Medium
118729,9,11777,11777.0,0,0,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,56130.0,Married,Star,Standard,2018.0,0.0,Medium
119009,33,52761,52761.0,0,0,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,74544.0,Married,Aurora,Standard,0.0,0.0,Medium
119135,44,62976,62976.0,1664,299,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,67862.0,Divorced,Star,Standard,0.0,0.0,Medium
119198,41,42847,60459.0,0,0,Canada,Quebec,Hull,J8Y 3Z5,Male,College,79245.6094087527,Divorced,Star,2018 Promotion,0.0,0.0,Medium
119408,4,4900,4900.0,0,0,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,79245.6094087527,Single,Star,Standard,0.0,0.0,Medium
119488,33,38383,38383.0,0,0,Canada,Quebec,Tremblant,H5Y 2S9,Female,College,79245.6094087527,Single,Star,Standard,0.0,0.0,Medium
119519,32,56036,56036.0,1444,260,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,81276.0,Married,Nova,Standard,0.0,0.0,Medium
